Unschuld: Ein modernes Mädchenbuch	Mar 24, 2020,	Asenijeff, Elsa, 1867-1941
Die Frauenfrage: ihre geschichtliche Entwicklung und wirtschaftliche Seite	Nov 17, 2004,	Braun, Lily, 1865-1916
Udo in England: Eine Reiseerzählung	Jun 10, 2019,	Bunsen, Marie von, 1860-1941
